name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
Kepler-289 b,Transit,34.545,0.023,0.192,0.21,4.1,Mars,700.0,1.1664,False
Kepler-289 c,Transit,125.8518,0.42,1.034,0.51,0.47,Hot Jupiter,700.0,1.1664,False
Kepler-289 d,Transit,66.0634,0.013,0.239,0.33,1.2,Hot Jupiter,700.0,1.1664,False
HATS-8 b,Transit,3.583893,0.138,0.873,0.04667,0.259,Hot Jupiter,829.0,1.5860530969960007,False
K2-30 b,Transit,4.098503,0.579,1.039,0.04839,0.64,Hot Jupiter,336.26,0.4032758016,False
KELT-9 b,Transit,1.4811235,2.88,1.891,0.03462,0.53,Hot Jupiter,205.65,196.99222859366398,False
K2-216 b,Transit,2.1748,0.02517,0.156,0.028,8.2,iron,115.84,0.13168189439999997,False
Kepler-1655 b,Transit,11.8728787,0.01573,0.197,0.103,2.5,Neptune,214.58,1.1940522965290001,False
HATS-39 b,Transit,4.5776348,0.63,1.57,0.06007,0.202,Hot Jupiter,773.0,13.116508075584001,False
HATS-40 b,Transit,3.2642736,1.59,1.58,0.04997,0.49,Hot Jupiter,1431.0,63.48672923673598,False
HATS-41 b,Transit,4.193649,9.7,1.33,0.0583,5.1,Earth,800.0,19.2383118225,False
HATS-42 b,Transit,2.292102,1.88,1.4,0.03689,0.83,Hot Jupiter,942.0,7.738455748863999,False
WASP-161 b,Transit,5.4060425,2.49,1.143,0.0673,2.2,Neptune,346.46,16.520152121000997,False
WASP-163 b,Transit,1.6096884,1.87,1.202,0.0266,1.42,Hot Jupiter,263.29,0.979104313009,False
WASP-170 b,Transit,2.34478022,1.6,1.096,0.0337,1.6,Neptune,308.27,0.6752697755039999,False
K2-285 b,Transit,3.471745,0.03046,0.231,0.03817,3.07,Mars,155.65,0.26832710800900006,False
K2-285 c,Transit,7.138048,0.04933,0.315,0.0824,1.95,Neptune,155.65,0.26832710800900006,False
HD 219666 b,Transit,6.03607,0.05223,0.42,0.06356,0.87,Hot Jupiter,94.43,0.9526306567840002,False
HD 1397 b,Transit,11.53533,0.415,1.026,0.1097,0.477,Hot Jupiter,79.75,52.24097719526399,False
Qatar-7 b,Transit,2.032046,1.88,1.7,0.0352,0.502,Hot Jupiter,725.0,11.774341253376,False
HD 202772 A b,Transit,3.308958,1.017,1.545,0.05208,0.343,Hot Jupiter,147.2,133.12387483662397,False
NGTS-4 b,Transit,1.3373508,0.06481,0.284,0.019,3.45,Mars,282.6,0.28005263999999996,False
TOI 172 b,Transit,9.47725,5.42,0.965,0.0914,7.53,iron,336.47,12.818490805263997,False
HATS-60 b,Transit,3.560829,0.662,1.153,0.04708,0.537,Hot Jupiter,494.3,5.4978994576,False
HATS-61 b,Transit,7.817953,3.4,1.195,0.07908,2.47,Neptune,694.0,8.856861698304,False
HATS-62 b,Transit,3.2768837,0.179,1.055,0.04163,0.076,Hot Jupiter,516.8,0.6059221281000002,False
HATS-63 b,Transit,3.0566527,0.96,1.207,0.04026,0.67,Hot Jupiter,634.8,1.1337074690490003,False
HATS-64 b,Transit,4.908897,0.96,1.679,0.06562,0.245,Hot Jupiter,1083.0,48.236858716175995,False
HATS-65 b,Transit,3.105161,0.821,1.501,0.04497,0.3,Hot Jupiter,495.0,4.675480745796001,False
HATS-66 b,Transit,3.1414391,5.33,1.411,0.04714,2.34,Neptune,1538.0,22.788173500416,False
HATS-67 b,Transit,1.6091788,1.45,1.685,0.03032,0.374,Hot Jupiter,982.0,8.916100448255998,False
HATS-68 b,Transit,3.5862202,1.29,1.232,0.05071,0.856,Hot Jupiter,618.2,17.093056640625,False
HATS-69 b,Transit,2.2252577,0.577,0.945,0.03211,0.46,Hot Jupiter,420.3,0.47501869465600005,False
K2-290 b,Transit,9.21165,0.0343,0.273,0.0923,4.1,Mars,274.99,7.362099995761,False
K2-290 c,Transit,48.36685,0.774,1.006,0.305,1.01,Hot Jupiter,274.99,7.362099995761,False
K2-291 b,Transit,2.225177,0.02042,0.142,0.03261,8.84,iron,90.29,0.5674608900000001,False
HD 119130 b,Transit,16.9841,0.07709,0.235,0.13,7.4,iron,114.29,1.4115816100000005,False
HATS-70 b,Transit,1.8882378,12.9,1.384,0.03632,6.64,Earth,1307.0,39.57960007782399,False
GJ 143 b,Transit,35.61253,0.07142,0.233,0.1915,7.0,iron,16.33,0.12079308780899994,False
Kepler-47 d,Transit,187.366,0.05984,0.628,0.6992,0.3,Hot Jupiter,1055.33,0.7195382415359998,False
Kepler-1658 b,Transit,3.84937278,5.88,1.07,0.0544,6.36,Earth,806.07,146.66530019702503,False
HD 21749 c,Transit,7.78993,0.01164,0.08,0.0695,31.93,gold,16.33,0.12079308780899994,False
K2-295 b,Transit,4.024867,0.335,0.897,0.0451,0.612,Hot Jupiter,225.7,0.13147875999999997,False
HD 15337 b,Transit,4.75615,0.02363,0.146,0.0522,9.3,iron,44.87,0.4430766096,False
HD 15337 c,Transit,17.1784,0.02552,0.213,0.1268,3.23,Mars,44.87,0.4430766096,False
Qatar-8 b,Transit,3.71495,0.371,1.285,0.0474,0.216,Hot Jupiter,276.7,3.1243496618890005,False
Qatar-9 b,Transit,1.540731,1.19,1.009,0.0234,1.43,Hot Jupiter,211.4,0.12446783999999997,False
Qatar-10 b,Transit,1.645321,0.736,1.543,0.0286,0.248,Hot Jupiter,539.0,3.2851562499999996,False
